List,Unit,Index,word,mean
0,0,0,regress, v.  倒退;回归;退化  
0,0,1,progress," n.  进步;进展;进程;前进;行进  
 v.  进步;改进;进展;前进;行进;(时间上)推移，流逝  "
0,0,2,ingress, n.  进入;进入权;入境权  
0,0,3,improvise, v.  临时拼凑;临时做;即兴创作(音乐、台词、演讲词等)  
0,0,4,benefactor, n.  施主;捐款人;赞助人  
0,0,5,manufacturer, n.  生产者;制造者;生产商  
0,0,6,shelter," n.  居所;住处;遮蔽，庇护，避难(避雨、躲避危险或攻击);(尤指用以躲避风雨或攻击的)遮蔽物，庇护处，避难处  
 v.  保护;掩蔽;躲避(风雨或危险)  "
0,0,7,shield," n.  盾(牌);保护人;保护物;掩护物;屏障;(保护机器和操作者的)护罩，防护屏，挡板  
 v.  保护某人或某物(免遭危险、伤害或不快);给…加防护罩  "
0,0,8,shell," n.  (蛋、坚果、某些种子和某些动物的)壳;壳状物;炮弹  
 v.  炮击;给…去壳  "
0,0,9,fetter," v.  束缚;限制，抑制(某人的自由);给(囚犯)上脚镣  
 n.  束缚;桎梏;羁绊;脚镣  "
0,1,0,fiend, n.  恶魔般的人;残忍的人;令人憎恶的人;…迷;…狂;爱好者;魔鬼;恶魔  
0,1,1,fiendish, adj.  恶魔般的;残忍的;令人憎恶的;(常令人不快地)巧妙复杂的;极其困难的  
0,1,2,womanish, adj.  脂粉气的;娘娘腔的;更适合女性的  
0,1,3,mannish, adj.  像男人的;男子气的;男性化的  
0,1,4,womanly, adj.  女性特有的;女子般的;适合女人的  
0,1,5,manly, adj.  有男子汉气概的;强壮的  
0,2,0,spout," n.  (容器的)嘴;(喷出的)水柱，液体柱  
 v.  喷出;喷射;喷水;滔滔不绝地说;喋喋不休地说  "
0,2,1,sprout," v.  发芽;抽芽;抽条;生长;出现;(使)涌现出;长出(某物);(某物)长出  
 n.  苗;新芽;嫩枝  "
0,2,2,chrysanthemum, n.  菊花  
0,2,3,pestilence, n.  瘟疫  
0,2,4,morose, adj.  阴郁的;脾气不好的;闷闷不乐的  
0,2,5,precarious, adj.  不稳的;不确定的;不保险的;危险的;摇摇欲坠的;不稳固的  
0,2,6,avalanche, n.  雪崩;山崩  
1,0,0,adjure, v.  要求;命令  
1,0,1,abjure, v.  公开保证放弃，声明放弃(信念、行为、活动)  
1,0,2,conjure, v.  变魔术;变戏法;使…变戏法般地出现(或消失)  
1,0,3,perjure, v.  作伪证;发假誓  
1,0,4,jury, n.  陪审团;(比赛的)评判委员会，裁判委员会  
1,0,5,perjury, n.  伪证;伪誓;伪证罪  
1,0,6,espouse, v.  支持，拥护，赞成(信仰、政策等)  
1,0,7,spouse," n.  配偶  
 vt.  和…结婚  "
1,0,8,spawn," v.  产卵;引发;引起;导致;造成  
 n.  (鱼、蛙等的)卵  "
1,0,9,forgo, v.  放弃，弃绝(想做的事或想得之物)  
1,0,10,forsake, v.  抛弃，遗弃，离开(尤指不履行责任);摒弃，离开(尤指喜爱的事物)  
1,0,11,forswear, v.  放弃;发誓戒除  
1,0,12,renounce, v.  声明放弃;宣布放弃;宣布与…决裂;宣布摒弃;宣布断绝与…的关系  
1,0,13,relinquish, v.  (尤指不情愿地)放弃  
1,1,0,omen, n.  预兆;前兆;征兆  
1,1,1,abominate, v.  憎恨;憎恶;厌恶;极其讨厌  
1,1,2,ominous, adj.  预兆的;恶兆的;不吉利的  
1,1,3,abhor, v.  (尤指因道德原因而)憎恨，厌恶，憎恶  
1,1,4,detest, v.  厌恶;憎恨;讨厌  
1,1,5,loathe, v.  极不喜欢;厌恶  
1,1,6,loath, adj.  不情愿;不乐意;勉强  
1,1,7,oath, n.  宣誓;誓言;(表示愤怒、惊异等的)咒骂，诅咒的话  
1,1,8,horrible, adj.  极坏的;十分讨厌的;可恶的;令人震惊的;恐怖的;不友善的;讨厌的;不厚道的  
1,1,9,deforest, v.  砍掉(某地)的树林;毁掉(某地)的森林  
